0.5	0.121	0.0194
1	0.16	0.0179
1.5	0.202	0.0176
2	0.233	0.0177
2.5	0.261	0.0198
3	0.286	0.0198
3.5	0.303	0.0185
4	0.323	0.0165
4.5	0.335	0.0123
5	0.348	0.00822
5.5	0.36	0.00776
6	0.365	0.00486
6.5	0.368	0.00453
7	0.371	0.00454
7.5	0.372	0.00459
8	0.373	0.00518
8.5	0.372	0.00507
9	0.368	0.00413
9.5	0.365	0.00413
10	0.36	0.00539
10.5	0.351	0.00649
11	0.341	0.00689
11.5	0.326	0.0101
12	0.309	0.0113
12.5	0.288	0.0121
13	0.264	0.0141
13.5	0.239	0.0165
14	0.201	0.021
14.5	0.166	0.0211
15	0.117	0.0196
